# The points starting with "V" have been carefully validated.
# The points starting with "B" are not accurate and must not be used.
# The points starting with "P" have not been validated.
# They points were picked to provide a reasonable coverage of ISS.
# It is suggested they be selected in hugin in the same
# order as in this file.

#  x                 y                z    tag
10.3109378815 -2.49853467941 5.57512807846 V32
10.3129653931 -2.4558172226  5.27917766571 V30
11.5439167023 -2.51335740089 5.58303403854 V37
11.9415664673 -10.3291101456 3.92417144775 V28
11.9285964966  -8.9397668838 3.9307217598  V25
11.0339927673 -10.0283288956 5.27207422256 V41
10.9409132004 -10.025226593  5.32980823517 V40
10.6649093628 -10.0191669464 5.17429208755 V42
9.92428398132 -9.43363857269 3.92280721664 V13
9.92838096619 -8.37307357788 3.94222402573 V11
11.9472799301 -8.40095043182 3.92003083229 V24
11.9307794571 -5.94309329987 3.92732667923 V20
10.4650564194 -10.0943946838 5.18764448166 V43

11.914  -3.398  3.948  P17
11.950  -4.380  3.937  P18
11.937  -4.899  3.925  P19
11.950  -6.339  3.921  P21
11.941  -6.877  3.927  P22
 9.927  -7.873  3.940  P10
 9.932  -7.329  3.925  P9
 9.932  -5.897  3.925  P6
 9.944  -5.367  3.945  P5
 9.927  -4.907  3.916  P4
 9.955  -4.391  3.951  P3
 9.884  -4.286  5.912  P35
11.946  -9.873  3.920  P27
11.945  -9.332  3.919  P26
11.943 -10.870  3.924  P29
 9.948  -9.870  3.921  P14
 9.921 -10.339  3.928  P15
 9.923  -8.871  3.919  P12
11.949  -7.336  3.916  P23
 9.926  -6.340  3.924  P7

 9.966  -3.494  3.918  B2
 9.925  -6.885  3.914  B8
 9.877  -5.280  5.895  B36
 9.956  -3.322  5.919  B34
10.306  -3.302  5.578  B33
10.302  -3.247  5.285  B31
10.308  -3.302  4.313  B1
11.564  -3.276  5.584  B38
11.910  -3.346  5.914  B39
11.568  -3.274  4.308  B16
