M01 -0000000000006406 -0000000000000833 +0000000000001488
M02 -0000000000006300 -0000000000001554 +0000000000001096
M03 -0000000000006426 -0000000000000699 +0000000000000205
M04 -0000000000005279 -0000000000000463 +0000000000001136
M05 -0000000000003245 -0000000000000203 +0000000000001202
M06 -0000000000002939 -0000000000002315 +0000000000001749
M07 -0000000000005003 -0000000000002616 -0000000000000364
M08 -0000000000000033 +0000000000000433 +0000000000000359
M09 -0000000000002938 -0000000000002307 -0000000000000033
M10 +0000000000000318 -0000000000001979 +0000000000001191
M11 +0000000000004639 +0000000000001585 +0000000000001319
M12 +0000000000005175 -0000000000001005 +0000000000001463
C01 +0000000000006321 -0000000000001909 +0000000000002296
C02 -0000000000005969 -0000000000003729 +0000000000002293
C03 -0000000000006564 +0000000000000277 +0000000000002291
C04 +0000000000005736 +0000000000002081 +0000000000002268
