0.000 207 128 225 225 128 30 30 207 128 225 225 128 30 30 
0.200 207 148 239 209 107 16 46 207 148 239 209 107 16 46 
0.400 207 169 248 190 86 7 65 207 169 248 190 86 7 65 
0.600 207 190 248 169 65 7 86 207 190 248 169 65 7 86 
0.800 207 209 239 148 46 16 107 207 209 239 148 46 16 107 
1.000 207 225 225 128 30 30 127 207 225 225 128 30 30 127 
1.200 207 239 209 107 16 46 148 207 239 209 107 16 46 148 
1.400 207 248 190 86 7 65 169 207 248 190 86 7 65 169 
1.600 207 248 169 65 7 86 190 207 248 169 65 7 86 190 
1.800 207 239 148 46 16 107 209 207 239 148 46 16 107 209 
2.000 207 225 128 30 30 127 225 207 225 128 30 30 127 225 
2.200 207 209 107 16 46 148 239 207 209 107 16 46 148 239 
2.400 207 190 86 7 65 169 248 207 190 86 7 65 169 248 
2.600 207 169 65 7 86 190 248 207 169 65 7 86 190 248 
2.800 207 148 46 16 107 209 239 207 148 46 16 107 209 239 
3.000 207 127 30 30 127 225 225 207 127 30 30 127 225 225 
3.200 207 107 16 46 148 239 209 207 107 16 46 148 239 209 
3.400 207 86 7 65 169 248 190 207 86 7 65 169 248 190 
3.600 207 65 7 86 190 248 169 207 65 7 86 190 248 169 
3.800 207 46 16 107 209 239 148 207 46 16 107 209 239 148 
4.000 207 30 30 128 225 225 127 207 30 30 128 225 225 127 
4.200 207 16 46 148 239 209 107 207 16 46 148 239 209 107 
4.400 207 7 65 169 248 190 86 207 7 65 169 248 190 86 
4.600 207 7 86 190 248 169 65 207 7 86 190 248 169 65 
4.800 207 16 107 209 239 148 46 207 16 107 209 239 148 46 
5.000 207 30 128 225 225 127 30 207 30 128 225 225 127 30 
5.200 207 46 148 239 209 107 16 207 46 148 239 209 107 16 
5.400 207 65 169 248 190 86 7 207 65 169 248 190 86 7 
5.600 207 86 190 248 169 65 7 207 86 190 248 169 65 7 
5.800 207 107 209 239 148 46 16 207 107 209 239 148 46 16 
6.000 207 128 225 225 127 30 30 207 128 225 225 127 30 30 
